cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
29164483,"Rua Rio Marinho","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164484,"Rua Seringueira","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164498,"Rua Acácias","","Praia de Carapebus",9267,8,-20.2217291,-40.2109694
29164499,"Rua Buriti","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164500,"Rua Cabo Martins","","Praia de Carapebus",9267,8,-20.2323996,-40.2162486
29164501,"Rua Guaratá","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164502,"Rua Patos de Minas","","Praia de Carapebus",9267,8,-20.2294214,-40.2151635
29164503,"Travessa Espírito Santo","","Praia de Carapebus",9267,8,-20.2320721,-40.215239
29164504,"Rua Bonsucesso","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164505,"Rua Diamantina","","Praia de Carapebus",9267,8,-20.2305199,-40.2146749
29164507,"Rua Tiago Amâncio da Silva","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164509,"Rua Sumaré","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164510,"Rua Gilseppi Verdi","","Praia de Carapebus",9267,8,-20.2328093,-40.2193244
29164511,"Rua da Liberdade","","Praia de Carapebus",9267,8,-20.2287561,-40.2190367
29164515,"Rua Lavras","","Praia de Carapebus",9267,8,-20.2304056,-40.2138806
29164522,"Rua dos Canários","","Lagoa de Carapebus",9267,8,-20.1075799939,-40.308
29164523,"Rua das Garças","","Lagoa de Carapebus",9267,8,-20.2226986,-40.2201757
29164524,"Rua João-de-barro","","Lagoa de Carapebus",9267,8,-20.2215392,-40.2472234
29164526,"Rua Bem-te-vi","","Lagoa de Carapebus",9267,8,-20.2243984,-40.2181773
29164527,"Rua Saracura","","Lagoa de Carapebus",9267,8,-20.2264882,-40.2187587
29164528,"Rua Beija-flor","","Lagoa de Carapebus",9267,8,-20.2249989,-40.2173018
29164529,"Rua Uirapuru","","Lagoa de Carapebus",9267,8,-20.2243984,-40.2181773
29164627,"Rua Boa Esperança","","Guaraciaba",9267,8,-20.2021132,-40.2396581
29164628,"Beco Boa Esperança 1","","Guaraciaba",9267,8,-20.2020944,-40.2390944
29164629,"Beco Florianópolis","","Guaraciaba",9267,8,-20.2016434,-40.2398676
29164631,"Rua Lavrador José Barbosa da Silva","","Guaraciaba",9267,8,-20.2034375,-40.2423047
29164632,"Rua Gustavo Barroso","","Guaraciaba",9267,8,-20.2035039,-40.2448898
29164633,"Rua Santa Rosa","","Guaraciaba",9267,8,-20.201884,-40.2451789
29164637,"Beco Antônio Tironi","","Guaraciaba",9267,8,-20.2023703,-40.2444966
29164639,"Rua Augusto dos Anjos","","Guaraciaba",9267,8,-20.2048968,-40.2439248
29164643,"Rua Nove","","Guaraciaba",9267,8,-20.202362,-40.2426329
29164644,"Rua Primavera","","Guaraciaba",9267,8,-20.2016601,-40.238811
29164731,"Rua Goiás","","Bicanga",9267,8,-20.2213955,-40.2756653
29164732,"Rua dos Colibris","","Bicanga",9267,8,-20.1954261,-40.2234608
29164745,"Rua Alegre","","Bicanga",9267,8,-20.1841782,-40.2294239
29164782,"Rua Hawaí","","Bicanga",9267,8,-20.2136408,-40.2141995
29164783,"Rua Felipe Xavier","","Bicanga",9267,8,-20.2149633,-40.1994366
29164784,"Rua Goiânia","","Bicanga",9267,8,-20.215602,-40.1993164
29164785,"Rua Pernambuco","","Bicanga",9267,8,-20.2176441,-40.2022924
29164786,"Rua Tocantins","","Bicanga",9267,8,-20.2172296,-40.2032145
29164787,"Rua Brasília","","Bicanga",9267,8,-20.2186815,-40.2022512
29164788,"Rua Morada Verde","","Bicanga",9267,8,-20.2139031,-40.2064132
29164789,"Rua Amapá","","Bicanga",9267,8,-20.2123138,-40.2041151
29164790,"Rua Acre","","Bicanga",9267,8,-20.218048,-40.2032441
29164791,"Rua Amazonas","","Bicanga",9267,8,-20.2171058,-40.2011206
29164792,"Rua São Francisco","","Bicanga",9267,8,-20.2119994,-40.2049191
29164793,"Beco Rio Grande do Sul","","Bicanga",9267,8,-20.210936,-40.2004163
29164795,"Rua Gutemberg","","Bicanga",9267,8,-20.2121502,-40.205419
29164796,"Avenida Curitiba","","Bicanga",9267,8,-20.212789,-40.2006389
29164797,"Rua Rio Grande do Sul","","Bicanga",9267,8,-20.210936,-40.2004163
29164798,"Rua Santa Catarina","","Bicanga",9267,8,-20.2117622,-40.200674
29164799,"Rua Espírito Santo","","Bicanga",9267,8,-20.2135225,-40.2017115
29164801,"Rua Minas Gerais","","Bicanga",9267,8,-20.2136701,-40.2011565
