cep,logradouro,complemento,bairro,id_cidade,id_estado,lat,lon
12312475,"Rua Fábio Andreotti","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312480,"Rua Carlos Brison","","Jardim Santa Marina",4595,26,-23.2961881,-45.9315952
12312485,"Rua Vigilato Mancilha de Almeida","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312490,"Rua José Luiz de Brito","","Jardim Santa Marina",4595,26,-23.2967189,-45.9307647
12312495,"Rua Mário Gonçalves de Campos","","Jardim Santa Marina",4595,26,-23.2969909,-45.9303315
12312500,"Rua Nacib Abrahão Neme","","Jardim Santa Marina",4595,26,-23.297266,-45.929902
12312505,"Rua José Borrego","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312510,"Rua José Lino da Silva","","Jardim Santa Marina",4595,26,-23.2973499922,-45.9743296047
12312515,"Rua Miguel Faria","","Jardim Santa Marina",4595,26,-23.2980356,-45.9286561
12312520,"Rua Jorge Rodrigues de Araújo","","Jardim Santa Marina",4595,26,-23.2982512,-45.9282066
12312525,"Rua Ursulina Quina de Siqueira","","Jardim Santa Marina",4595,26,-23.2985403,-45.9277881
12312530,"Rua Darcy Ribeiro","","Jardim Santa Marina",4595,26,-23.2971117,-45.9270541
12312535,"Rua Camilo Castelo Branco","","Jardim Santa Marina",4595,26,-23.2968448,-45.927483
12312540,"Rua Junqueira Freire","","Jardim Santa Marina",4595,26,-23.2965954,-45.9279013
12312545,"Rua Alexandre Herculano","","Jardim Santa Marina",4595,26,-23.2957723,-45.9291389
12312550,"Rua Paulo Mendes Campos","","Jardim Santa Marina",4595,26,-23.2987827,-45.9662542
12312553,"Rua Luís Carlos Martins Pena","","Jardim Santa Marina",4595,26,-23.2952922,-45.930013
12312563,"Rua Eugenio de Castro","","Jardim Santa Marina",4595,26,-23.2949188,-45.9303384
12312565,"Rua Antônio Nobre","","Jardim Santa Marina",4595,26,-23.2943078,-45.9289961
